timestamp,process_name,pid,working_set_mb,virtual_mb
2025-11-13T22:31:28.0470606-07:00,cargo,29464,4.46,4271.4
2025-11-13T22:31:28.0651043-07:00,cargo,44848,24.34,4287.21
2025-11-13T22:31:28.0661100-07:00,cargo,47324,3.38,4271.4
2025-11-13T22:31:28.5808671-07:00,cargo,17596,63.21,4278.67
2025-11-13T22:31:28.5818700-07:00,cargo,29464,4.46,4271.4
2025-11-13T22:31:28.5828727-07:00,cargo,44848,24.34,4287.21
2025-11-13T22:31:28.5838698-07:00,cargo,47324,3.38,4271.4
2025-11-13T22:31:29.0922004-07:00,cargo,17596,63.41,4282.67
2025-11-13T22:31:29.0932038-07:00,cargo,29464,4.46,4271.4
2025-11-13T22:31:29.0952036-07:00,cargo,44848,24.34,4287.21
2025-11-13T22:31:29.1087465-07:00,cargo,47324,3.38,4271.4
2025-11-13T22:31:29.1092039-07:00,rustc,24092,100.16,5158.4
2025-11-13T22:31:29.6170169-07:00,cargo,17596,63.41,4282.67
2025-11-13T22:31:29.6180174-07:00,cargo,29464,4.46,4271.4
2025-11-13T22:31:29.6190327-07:00,cargo,44848,24.34,4287.21
2025-11-13T22:31:29.6200300-07:00,cargo,47324,3.38,4271.4
2025-11-13T22:31:29.6200300-07:00,link,13180,698.17,5401.14
2025-11-13T22:31:29.6220345-07:00,rustc,24092,48.12,4469.49
2025-11-13T22:31:30.1289503-07:00,cargo,17596,63.41,4282.67
2025-11-13T22:31:30.1299501-07:00,cargo,29464,4.46,4271.4
2025-11-13T22:31:30.1309513-07:00,cargo,44848,24.34,4287.21
2025-11-13T22:31:30.1319514-07:00,cargo,47324,3.38,4271.4
2025-11-13T22:31:30.1339524-07:00,link,13180,1029.86,5566.5
2025-11-13T22:31:30.1349512-07:00,rustc,24092,48.12,4469.49
2025-11-13T22:31:30.6412839-07:00,cargo,17596,23.62,4274.4
2025-11-13T22:31:30.6422847-07:00,cargo,29464,4.46,4271.4
2025-11-13T22:31:30.6432819-07:00,cargo,44848,24.34,4287.21
2025-11-13T22:31:30.6432819-07:00,cargo,47324,3.38,4271.4
