timestamp,process_name,pid,working_set_mb,virtual_mb
2025-11-13T20:11:04.7752625-07:00,cargo,33336,55.04,4278.66
2025-11-13T20:11:05.3015987-07:00,cargo,33336,62.85,4284.66
2025-11-13T20:11:05.3026183-07:00,rustc,20208,60.33,4444.09
2025-11-13T20:11:05.3026183-07:00,rustc,35524,19.22,4383.27
2025-11-13T20:11:05.8229455-07:00,cargo,33336,62.85,4284.66
2025-11-13T20:11:05.8239694-07:00,rustc,20208,101.61,5026.85
2025-11-13T20:11:05.8265267-07:00,rustc,35524,104.46,4765.01
2025-11-13T20:11:06.3383093-07:00,cargo,33336,62.9,4284.66
2025-11-13T20:11:06.3393268-07:00,rustc,20208,171.5,5107.38
2025-11-13T20:11:06.3403308-07:00,rustc,35524,173.87,4808.4
2025-11-13T20:11:06.8465785-07:00,cargo,33336,62.9,4284.66
2025-11-13T20:11:06.8475989-07:00,cargo,41524,68.16,4280.04
2025-11-13T20:11:06.8486145-07:00,rustc,20208,213.98,5128.37
2025-11-13T20:11:06.8491136-07:00,rustc,35524,219.71,4829.37
2025-11-13T20:11:07.4010590-07:00,cargo,33336,62.9,4284.66
2025-11-13T20:11:07.4010590-07:00,cargo,41524,24.05,4290.21
2025-11-13T20:11:07.4020682-07:00,rustc,20208,247.81,5151.67
2025-11-13T20:11:07.4030789-07:00,rustc,35524,261.14,4868.49
2025-11-13T20:11:07.9123548-07:00,cargo,33336,62.9,4284.66
2025-11-13T20:11:07.9133555-07:00,rustc,20208,297.78,5194.23
2025-11-13T20:11:07.9143543-07:00,rustc,35524,305.57,4897.21
2025-11-13T20:11:08.4351584-07:00,cargo,33336,62.9,4284.66
2025-11-13T20:11:08.4366708-07:00,rustc,20208,373.05,5265.04
2025-11-13T20:11:08.4377736-07:00,rustc,35524,371.95,4952.24
2025-11-13T20:11:08.9587411-07:00,cargo,33336,62.9,4284.66
2025-11-13T20:11:08.9597366-07:00,rustc,20208,432.25,5322.14
2025-11-13T20:11:08.9607411-07:00,rustc,35524,418.48,5007.77
2025-11-13T20:11:09.4692701-07:00,cargo,33336,62.9,4284.66
2025-11-13T20:11:09.4702694-07:00,rustc,20208,370.04,5293.17
2025-11-13T20:11:09.4712708-07:00,rustc,35524,397.67,5002.21
2025-11-13T20:11:09.9915195-07:00,cargo,33336,62.9,4284.66
2025-11-13T20:11:09.9925238-07:00,rustc,20208,387.05,5297.44
2025-11-13T20:11:09.9935191-07:00,rustc,35524,381.59,5000.23
2025-11-13T20:11:10.5007300-07:00,cargo,33336,62.9,4284.66
2025-11-13T20:11:10.5017446-07:00,rustc,20208,378.05,5305.44
2025-11-13T20:11:10.5027484-07:00,rustc,35524,396.69,5006.29
2025-11-13T20:11:11.0082362-07:00,cargo,33336,62.9,4284.66
2025-11-13T20:11:11.0092530-07:00,link,39964,30,4268.81
2025-11-13T20:11:11.0102704-07:00,rustc,20208,96.24,4644.41
2025-11-13T20:11:11.0108397-07:00,rustc,35524,420.54,5009.67
2025-11-13T20:11:11.5180219-07:00,cargo,33336,62.9,4284.66
2025-11-13T20:11:11.5190385-07:00,link,39964,206.92,4539.2
2025-11-13T20:11:11.5200366-07:00,rustc,20208,96.24,4644.41
2025-11-13T20:11:11.5200366-07:00,rustc,35524,162.97,4702.36
2025-11-13T20:11:12.0258413-07:00,cargo,33336,63.05,4288.66
2025-11-13T20:11:12.0268406-07:00,link,39964,532.64,5318.75
2025-11-13T20:11:12.0278422-07:00,rustc,20208,96.24,4644.41
2025-11-13T20:11:12.0288428-07:00,rustc,25632,11.94,4368.27
2025-11-13T20:11:12.0359383-07:00,rustc,45304,8.92,4368.27
2025-11-13T20:11:12.0364435-07:00,rustc,46248,7.71,4368.27
2025-11-13T20:11:12.5441191-07:00,cargo,33336,63.05,4288.66
2025-11-13T20:11:12.5456301-07:00,link,39964,700.51,5393
2025-11-13T20:11:12.5466429-07:00,link,45868,18.31,4924.62
2025-11-13T20:11:12.5476436-07:00,rustc,20208,96.24,4644.41
2025-11-13T20:11:12.5486438-07:00,rustc,25632,51.73,4469.46
2025-11-13T20:11:12.5496431-07:00,rustc,45304,100.89,5276.44
2025-11-13T20:11:12.5506500-07:00,rustc,46248,138.22,5161.43
2025-11-13T20:11:13.0579477-07:00,cargo,33336,63.05,4288.66
