timestamp,process_name,pid,working_set_mb,virtual_mb
2025-11-13T21:39:01.2193559-07:00,cargo,29464,18.36,4271.4
2025-11-13T21:39:01.2373754-07:00,cargo,44988,22.62,4271.4
2025-11-13T21:39:01.2383917-07:00,cargo,45940,23.8,4287.21
2025-11-13T21:39:01.2394091-07:00,cargo,47324,13.79,4271.4
2025-11-13T21:39:01.7484170-07:00,cargo,29464,18.36,4271.4
2025-11-13T21:39:01.7494172-07:00,cargo,36512,52.25,4278.71
2025-11-13T21:39:01.7498735-07:00,cargo,44988,22.62,4271.4
2025-11-13T21:39:01.7508741-07:00,cargo,45940,23.8,4287.21
2025-11-13T21:39:01.7514182-07:00,cargo,47324,13.79,4271.4
2025-11-13T21:39:02.2578089-07:00,cargo,29464,18.36,4271.4
2025-11-13T21:39:02.2753394-07:00,cargo,36512,62.96,4280.71
2025-11-13T21:39:02.2763364-07:00,cargo,44988,22.62,4271.4
2025-11-13T21:39:02.2763364-07:00,cargo,45940,23.8,4287.21
2025-11-13T21:39:02.2773372-07:00,cargo,47324,13.79,4271.4
2025-11-13T21:39:02.7847024-07:00,cargo,29464,18.36,4271.4
2025-11-13T21:39:02.7856994-07:00,cargo,36512,63.12,4282.71
2025-11-13T21:39:02.7861733-07:00,cargo,44988,22.62,4271.4
2025-11-13T21:39:02.7871691-07:00,cargo,45940,23.8,4287.21
2025-11-13T21:39:02.7877016-07:00,cargo,47324,13.79,4271.4
2025-11-13T21:39:02.7887013-07:00,rustc,26444,38.44,4746.92
2025-11-13T21:39:03.2944771-07:00,cargo,29464,18.36,4271.4
2025-11-13T21:39:03.2954769-07:00,cargo,36512,63.12,4282.71
2025-11-13T21:39:03.2964742-07:00,cargo,44988,22.62,4271.4
2025-11-13T21:39:03.2984835-07:00,cargo,45940,23.8,4287.21
2025-11-13T21:39:03.2994823-07:00,cargo,47324,13.79,4271.4
2025-11-13T21:39:03.3000193-07:00,rustc,26444,67.01,5133.75
2025-11-13T21:39:03.8068593-07:00,cargo,29464,18.36,4271.4
2025-11-13T21:39:03.8078612-07:00,cargo,36512,63.12,4282.71
2025-11-13T21:39:03.8088622-07:00,cargo,44988,22.62,4271.4
2025-11-13T21:39:03.8088622-07:00,cargo,45940,23.8,4287.21
2025-11-13T21:39:03.8098628-07:00,cargo,47324,13.79,4271.4
2025-11-13T21:39:03.8108619-07:00,link,39776,8.41,4219.5
2025-11-13T21:39:03.8138701-07:00,rustc,26444,48.76,4469.46
2025-11-13T21:39:04.3203904-07:00,cargo,29464,18.36,4271.4
2025-11-13T21:39:04.3213924-07:00,cargo,36512,63.12,4282.71
2025-11-13T21:39:04.3223925-07:00,cargo,44988,22.62,4271.4
2025-11-13T21:39:04.3233915-07:00,cargo,45940,23.8,4287.21
2025-11-13T21:39:04.3233915-07:00,cargo,47324,13.79,4271.4
2025-11-13T21:39:04.3243930-07:00,link,39776,362.67,5222.08
2025-11-13T21:39:04.3253929-07:00,rustc,26444,48.76,4469.46
2025-11-13T21:39:04.8323321-07:00,cargo,29464,13.57,4271.4
2025-11-13T21:39:04.8338569-07:00,cargo,36512,62.28,4282.71
2025-11-13T21:39:04.8343605-07:00,cargo,44988,20.57,4271.4
2025-11-13T21:39:04.8353603-07:00,cargo,45940,23.78,4287.21
2025-11-13T21:39:04.8363615-07:00,cargo,47324,8.73,4271.4
2025-11-13T21:39:04.8363615-07:00,link,39776,588.36,5332.52
2025-11-13T21:39:04.8373615-07:00,rustc,26444,48.12,4469.46
2025-11-13T21:39:05.3452062-07:00,cargo,29464,13.57,4271.4
2025-11-13T21:39:05.3462117-07:00,cargo,36512,62.28,4282.71
2025-11-13T21:39:05.3472101-07:00,cargo,44988,20.57,4271.4
2025-11-13T21:39:05.3482095-07:00,cargo,45940,23.78,4287.21
2025-11-13T21:39:05.3482095-07:00,cargo,47324,8.73,4271.4
2025-11-13T21:39:05.3497259-07:00,link,39776,761.57,5436.25
2025-11-13T21:39:05.3502151-07:00,rustc,26444,48.12,4469.46
2025-11-13T21:39:05.8682510-07:00,cargo,29464,12.4,4271.4
2025-11-13T21:39:05.8692514-07:00,cargo,36512,62.28,4282.71
