timestamp,process_name,pid,working_set_mb,virtual_mb
2025-11-13T21:40:10.8744587-07:00,cargo,29464,11.97,4271.4
2025-11-13T21:40:10.8914982-07:00,cargo,45940,23.78,4287.21
2025-11-13T21:40:10.8924962-07:00,cargo,47324,7.09,4271.4
2025-11-13T21:40:11.4019640-07:00,cargo,29464,11.97,4271.4
2025-11-13T21:40:11.4029716-07:00,cargo,40060,63.06,4278.65
2025-11-13T21:40:11.4039712-07:00,cargo,45940,23.78,4287.21
2025-11-13T21:40:11.4049675-07:00,cargo,47324,7.09,4271.4
2025-11-13T21:40:11.9130549-07:00,cargo,29464,11.97,4271.4
2025-11-13T21:40:11.9145314-07:00,cargo,40060,63.27,4282.65
2025-11-13T21:40:11.9160529-07:00,cargo,45940,23.78,4287.21
2025-11-13T21:40:11.9175232-07:00,cargo,47324,7.09,4271.4
2025-11-13T21:40:11.9315888-07:00,rustc,6464,99.86,5158.43
2025-11-13T21:40:12.4378395-07:00,cargo,29464,11.97,4271.4
2025-11-13T21:40:12.4388397-07:00,cargo,40060,63.27,4282.65
2025-11-13T21:40:12.4398390-07:00,cargo,45940,23.78,4287.21
2025-11-13T21:40:12.4398390-07:00,cargo,47324,7.09,4271.4
2025-11-13T21:40:12.4408388-07:00,link,8552,647.75,5361.46
2025-11-13T21:40:12.4418399-07:00,rustc,6464,48.44,4469.46
2025-11-13T21:40:12.9491752-07:00,cargo,29464,11.97,4271.4
2025-11-13T21:40:12.9501747-07:00,cargo,40060,63.27,4282.65
2025-11-13T21:40:12.9511732-07:00,cargo,45940,23.78,4287.21
2025-11-13T21:40:12.9521726-07:00,cargo,47324,7.09,4271.4
2025-11-13T21:40:12.9531735-07:00,link,8552,1136.29,5643.34
2025-11-13T21:40:12.9541734-07:00,rustc,6464,48.44,4469.46
2025-11-13T21:40:13.4611407-07:00,cargo,29464,11.97,4271.4
2025-11-13T21:40:13.4621541-07:00,cargo,40060,63.27,4282.65
2025-11-13T21:40:13.4631671-07:00,cargo,45940,23.78,4287.21
2025-11-13T21:40:13.4636635-07:00,cargo,47324,7.09,4271.4
2025-11-13T21:40:13.4646634-07:00,link,8552,687.73,5185.09
2025-11-13T21:40:13.4646634-07:00,rustc,6464,48.45,4469.46
2025-11-13T21:40:13.9744866-07:00,cargo,29464,11.97,4271.4
2025-11-13T21:40:13.9754831-07:00,cargo,40060,23.71,4274.4
2025-11-13T21:40:13.9764887-07:00,cargo,45940,23.78,4287.21
2025-11-13T21:40:13.9774819-07:00,cargo,47324,7.09,4271.4
